time_medstack,O18_medstack,C13_medstack
316,0.96,1.05
317,1.15,1.05
318,1.22,1.08
319,1.16,1.13
320,1.06,1.17
321,0.85,1.18
322,0.65,1.19
323,0.45,1.2
324,0.24,1.17
325,0.02,1.12
326,-0.07,0.98
327,-0.05,0.79
328,-0.19,0.61
329,-0.35,0.46
330,-0.2,0.46
331,-0.14,0.42
332,-0.43,0.36
333,-0.11,0.57
334,0.03,0.6
335,0.03,0.61
336,0.3,0.58
337,0.85,0.64
338,1.15,0.76
339,1.27,0.87
340,1.3,0.78
341,1.33,0.68
342,1.32,0.64
343,1.3,0.69
344,1.45,0.74
345,1.61,0.79
346,1.53,0.8
347,1.48,0.8
348,1.44,0.8
349,1.51,0.85
350,1.57,0.92
351,1.64,0.98
352,1.73,0.97
353,1.78,0.94
354,1.79,0.9
355,1.77,0.93
356,1.76,0.98
357,1.85,1.03
358,1.85,1.04
359,1.81,1.07
360,1.71,1.09
361,1.61,1.12
362,1.51,1.14
363,1.44,1.14
364,1.3,1.09
365,1.22,1.01
366,1.12,0.94
367,1.07,0.91
368,1.14,0.99
369,1.24,1.08
370,1.21,1.15
371,1.1,1.2
372,0.98,1.24
373,0.91,1.26
374,0.93,1.19
375,0.9,1.12
376,0.91,1.12
377,0.94,1.11
378,0.85,1.08
379,0.63,1.05
380,0.7,1.1
381,0.85,1.24
382,0.98,1.37
383,1.02,1.38
384,1.06,1.34
385,1.25,1.31
386,1.28,1.27
387,1.24,1.26
388,1.07,1.24
389,0.96,1.21
390,0.94,1.23
391,0.71,1.29
392,0.54,1.37
393,0.51,1.4
394,0.49,1.42
395,0.43,1.41
396,0.51,1.3
397,0.41,1.19
398,0.24,1.11
399,0.4,1.13
400,0.57,1.15
401,0.76,1.13
402,0.88,1.06
403,0.86,0.98
404,-0.19,0.36
405,-0.46,0.15
406,-0.64,0.04
407,-1.05,0.05
408,-1.11,0.08
409,-0.94,0.13
410,-0.78,0.18
411,-0.61,0.23
412,-0.45,0.28
413,-0.28,0.33
414,-0.11,0.38
415,0.05,0.42
416,0.08,0.47
417,0.09,0.51
418,0.1,0.55
419,0.11,0.6
420,0.12,0.64
421,0.13,0.68
422,0.14,0.73
423,0.15,0.77
424,0.16,0.81
425,0.22,0.86
426,0.33,0.9
427,0.44,0.95
428,0.55,0.99
429,0.61,1
430,0.65,1
431,0.69,1
432,0.74,1
433,0.76,1
434,0.79,1
435,0.81,0.96
436,0.81,0.89
437,0.59,0.82
438,0.16,0.76
439,0.03,0.76
440,0.11,0.79
441,0.01,0.79
442,-0.18,0.79
443,-0.1,0.76
444,0.08,0.71
445,0.31,0.72
446,0.55,0.73
447,0.79,0.75
448,1.02,0.76
