geochem_depth,geochem_age_kabp,TIC,TOC,Qz_peakarea,C13,O18,TN,TS
16.75,39.9504,0.06,0.72,,,,0.22,0.107
17.07,40.21455,0.13,0.98,0.384279,,,0.21,0.129
17.23,40.5473,0.32,0.94,,,,0.23,0.12
17.39,40.87665,0.07,1.03,0.357414,,,0.23,0.133
17.55,41.206,0.14,1.14,,,,0.26,0.127
17.71,41.5375,0.79,0.81,0.335538,,,0.22,0.136
17.87,41.8661,0.07,1.06,,,,0.24,0.181
18.03,42.19505,0.05,1.19,0.302972,,,0.28,0.131
18.19,42.5277,0.18,0.95,,,,0.24,0.142
18.35,42.8593,0.13,1.03,0.342513,,,0.25,0.144
18.51,43.25815,0.09,1.15,,,,0.26,0.125
18.67,43.6548,0.06,1.28,0.33071,,,0.27,0.115
18.83,44.04815,0.06,1.42,,,,0.31,0.113
18.99,44.4464,0.04,1.35,0.308066,,,0.27,0.114
19.15,44.84365,0.11,1.54,,,,0.32,0.107
19.31,45.24115,0.07,1.47,0.292791,,,0.31,0.15
19.47,45.64015,0.28,1.03,,,,0.26,0.17
19.63,46.0366,0.54,0.89,0.336408,,,0.23,0.181
19.79,46.44085,0.79,1.02,,,,0.23,0.146
19.95,46.83995,0.13,1.18,0.303615,,,0.26,0.147
20.11,47.24805,0.06,1.33,,,,0.28,0.102
20.27,47.649,0.99,0.96,0.289878,,,0.27,0.162
20.43,48.0482,0.14,1.11,,,,0.26,0.133
20.59,48.43885,0.04,1.28,0.300749,,,0.29,0.127
20.75,48.8416,0.06,1.42,,,,0.3,0.1
20.91,49.24135,0.16,1.14,0.350775,,,0.24,0.125
21.07,49.73765,0.14,1.34,,,,0.25,0.15
21.23,50.2533,0.1,1.52,0.338497,,,0.26,0.104
21.39,50.77675,0.09,1.38,,,,0.28,0.105
21.55,51.29545,0.11,1.38,0.327118,,,0.3,0.101
21.71,51.8217,0.17,1.49,,,,0.3,0.099
21.87,52.35185,0.17,1.6,0.313442,,,0.33,0.106
22.03,52.87105,0.11,1.53,,,,0.3,0.126
22.19,53.38915,0.08,1.56,0.317692,,,0.3,0.132
22.35,53.8685,0.05,1.51,,,,0.33,0.095
22.51,54.3248,0.08,1.54,0.274079,,,0.32,0.104
22.67,54.7786,0.08,1.36,,,,0.29,0.109
22.83,55.24255,0.06,1.36,0.296385,,,0.31,0.118
22.99,55.7086,0.08,1.07,,,,0.29,0.138
23.15,56.16105,1.86,0.91,0.307837,,,0.25,0.123
23.31,56.62365,0.08,1.46,,,,0.31,0.112
23.47,57.08635,0.08,1.26,0.318795,,,0.3,0.121
23.63,57.56985,0.19,1.09,,,,0.29,0.139
23.79,58.0956,0.28,0.87,0.322273,,,0.25,0.118
23.95,58.60885,0.25,0.95,,,,0.27,0.159
24.11,59.1252,0.09,1.3,0.319694,,,0.3,0.126
24.27,59.6509,0.06,1.34,,,,0.29,0.119
24.43,60.1614,0.08,1.38,0.31396,,,0.3,0.126
24.59,60.68425,0.05,1.33,,,,0.28,0.107
24.75,61.20335,0.18,1.11,0.347703,,,0.29,0.122
24.91,61.66485,0.17,1.19,,,,0.26,0.113
25.07,62.03465,0.73,0.85,0.314494,,,0.25,0.13
25.23,62.40595,0.07,1.18,,,,0.28,0.109
25.39,62.7759,0.08,1.15,0.306595,,,0.27,0.115
25.55,63.15475,0.57,0.75,,,,0.25,0.135
25.71,63.53795,0.11,0.95,0.374225,,,0.3,0.115
25.87,63.9171,0.14,0.99,,,,0.32,0.165
26.03,64.2965,0.22,1.03,0.354455,,,0.22,0.211
26.19,64.68625,0.07,0.96,,,,0.3,0.165
26.35,65.12165,0.21,0.92,0.364512,,,0.3,0.163
26.51,65.56355,0.67,0.69,,,,0.28,0.165
26.67,66.0044,0.16,0.85,0.373755,,,0.3,0.104
26.83,66.44165,0.09,0.91,,,,0.18,0.105
26.99,66.8845,0.1,0.92,0.401833,,,0.19,0.159
27.15,67.3222,0.06,0.99,,,,0.19,0.131
27.31,67.76515,0.32,0.95,0.308477,,,0.18,0.126
27.47,68.1964,0.02,1.02,,,,0.19,0.119
27.63,68.61695,0.13,0.8,0.369527,,,0.18,0.123
27.79,69.047,1.01,0.78,,,,0.17,0.151
27.95,69.46685,0.12,0.98,0.377032,,,0.18,0.149
28.11,69.89355,0.18,1.06,,,,0.2,0.141
28.27,70.33185,0.5,0.92,0.346222,,,0.18,0.139
28.43,70.7599,0.69,0.97,,,,0.19,0.149
28.59,71.18815,0.32,1.08,0.375755,,,0.19,0.126
28.75,71.6122,0.52,0.96,0.344441,,,0.2,0.139
28.91,72.0408,0.04,1.18,0.366255,,,0.21,0.189
29.07,72.4648,0.04,1.44,0.32083,,,0.26,0.089
29.23,72.88285,0.04,1.79,0.323806,,,0.28,0.091
29.39,73.31325,0.03,1.92,0.27919,,,0.3,0.104
29.55,73.73215,0.19,2.04,0.316778,,,0.31,0.084
29.71,74.15855,0.05,2.04,0.283618,,,0.31,0.107
29.87,74.5871,0.08,2,0.301751,,,0.32,0.09
30.03,75.0044,0.51,1.43,0.294424,,,0.25,0.124
30.19,75.4045,0.65,1.35,0.305878,,,0.25,0.104
30.35,75.80565,0.48,1.53,0.276068,,,0.28,0.11
30.51,76.20125,0.82,1.43,0.323552,,,0.28,0.146
30.67,76.60565,0.08,2.17,0.283021,,,0.33,0.1
30.83,76.996,0.08,2.46,0.295341,,,0.36,0.117
30.99,77.3943,0.12,2.52,0.254252,,,0.36,0.099
31.15,77.79,0.52,2.72,0.261097,,,0.38,0.091
31.31,78.18015,0.24,2.62,0.275856,,,0.39,0.111
31.47,78.5292,0.08,2.03,0.305438,,,0.34,0.105
31.63,78.8641,0.12,1.61,0.293762,,,0.3,0.126
31.79,79.196,0.52,1.49,0.327247,,,0.32,0.162
31.95,79.5348,1.01,1.61,0.275038,,,0.29,0.114
32.11,79.873,1.15,2.36,0.260832,,,0.32,0.104
32.26,80.19,0.22,2.31,0.269845,,,0.32,0.063
32.43,80.54485,0.63,2.29,0.292111,0.8,-2.28,0.33,0.079
32.59,80.87775,2.78,2.49,0.200533,0.99,-4.43,0.32,0.089
32.75,81.2155,3.35,2.47,0.218272,1.21,-4.08,0.3,0.091
32.91,81.56275,4.43,2.64,0.185423,0.65,-4.86,0.3,0.072
33.07,81.8998,3.37,2.55,0.228461,0.53,-4.98,0.26,0.092
33.23,82.2367,3.64,2.26,0.197917,0.47,-5.44,0.23,0.062
33.39,82.58285,4.31,2.04,0.207918,0.46,-5.79,0.24,0.098
33.55,82.9296,5.32,2,0.161589,0.68,-5.04,0.21,0.104
33.71,83.2674,5.38,1.81,0.168046,0.7,-5.11,0.21,0.093
33.87,83.6042,5.81,1.86,0.146702,0.79,-5.2,0.21,0.053
34.03,83.97765,5.46,1.8,0.161748,0.81,-5.08,0.21,0.099
34.19,84.36715,5.26,2,0.151785,0.9,-4.93,0.23,0.091
34.35,84.76815,2.94,2.19,0.215523,0.91,-4.9,0.29,0.121
34.51,85.17155,2.05,1.84,0.231716,1.01,-5.04,0.27,0.149
34.67,85.57615,1.34,1.48,0.277902,1.35,-4.71,0.25,0.107
34.83,85.9804,1.16,1.44,0.261245,1.2,-3.93,0.26,0.144
34.99,86.38485,1.68,1.33,0.289632,2,-3.86,0.25,0.109
35.15,86.7925,3.11,1.16,0.226501,2.99,-3.69,0.2,0.061
35.31,87.1898,2.2,1.29,0.258673,2.38,-3.61,0.23,0.057
35.47,87.6003,1.28,1.24,0.262417,1.82,-3.27,0.24,0.07
35.63,88.00535,1.15,1.38,0.289848,2,-2.64,0.25,0.098
35.79,88.42235,0.32,1.34,0.265283,,,0.28,0.117
