geochem_depth,geochem_age_kabp,TIC,TOC,Qz_peakarea,C13,O18,TN,TS
68.27,168.0568,0.17,0.57,0.302902,,,0.21,0.083
68.43,168.28955,0.68,0.47,,,,0.21,0.056
68.59,168.52645,0.3,0.72,0.318869,,,0.22,0.073
68.75,168.76855,0.48,0.8,,,,0.2,0.097
68.91,169.00535,0.21,0.83,0.28545,,,0.24,0.096
69.07,169.2405,0.33,0.89,,,,0.22,0.095
69.23,169.4674,0.25,0.98,0.288633,,,0.23,0.086
69.39,169.69375,0.11,1.11,,,,0.25,0.072
69.55,169.9233,0.04,1.44,0.287957,,,0.27,0.099
69.71,170.1474,0.02,1.3,,,,0.25,0.105
69.87,170.37495,0.04,1.06,0.319876,,,0.23,0.071
70.03,170.60225,0.07,0.99,,,,0.22,0.094
70.19,170.82795,0.13,0.88,0.344849,,,0.22,0.072
70.35,171.06235,0.57,0.77,,,,0.22,0.075
70.51,171.27055,0.64,0.74,0.342282,,,0.21,0.081
70.67,171.48925,0.17,0.83,,,,0.22,0.056
70.84,171.721,0.17,0.82,0.326189,,,0.22,0.055
70.99,171.9305,0.17,0.92,,,,0.24,0.06
71.15,172.15965,0.42,0.78,0.329197,,,0.23,0.084
71.31,172.37985,0.55,0.81,,,,0.22,0.102
71.47,172.60685,0.52,0.87,0.341783,,,0.23,0.072
71.63,172.8293,0.39,0.91,,,,0.23,0.094
71.79,173.06695,0.04,1.16,0.320157,,,0.24,0.071
71.95,173.3122,0.1,1.23,,,,0.24,0.082
72.11,173.55185,0.09,1.03,0.33121,,,0.25,0.058
72.27,173.80005,0.14,1.07,,,,0.25,0.064
72.43,174.04545,0.23,0.98,0.319396,,,0.23,0.05
72.59,174.2874,0.55,0.94,,,,0.24,0.071
72.75,174.53755,0.28,0.99,0.325913,,,0.24,0.116
72.91,174.7837,0.55,0.92,,,,0.21,0.083
73.07,175.0121,0.18,1.02,0.324175,,,0.23,0.082
73.23,175.2361,0.22,1.03,,,,0.24,0.061
73.39,175.45855,0.55,0.9,0.304503,,,0.21,0.055
73.55,175.68815,0.29,1.11,,,,0.22,0.075
73.71,175.91625,0.23,1.05,0.301958,,,0.23,0.08
73.87,176.14535,0.27,1.16,,,,0.22,0.088
74.03,176.3753,0.32,1.22,0.305403,,,0.23,0.082
74.19,176.6028,0.21,1.23,,,,0.23,0.101
74.35,176.81905,0.31,1.19,0.287104,,,0.23,0.089
74.51,177.01975,0.08,1.14,,,,0.23,0.09
74.67,177.2208,0.2,1.14,0.264922,,,0.22,0.127
74.83,177.42355,0.08,1.13,,,,0.23,0.092
74.99,177.62975,0.06,0.96,0.261279,,,0.22,0.101
75.15,177.83145,0.07,0.82,,,,0.22,0.079
75.31,178.0325,1.35,0.8,0.255484,,,0.2,0.094
75.47,178.23755,0.56,0.69,,,,0.22,0.053
75.63,178.44555,0.17,0.78,0.337227,,,0.21,0.058
75.79,178.65765,0.18,0.91,,,,0.22,0.07
75.95,178.87145,0.6,0.94,0.27235,,,0.22,0.088
76.11,179.08555,0.19,0.99,,,,0.22,0.078
76.27,179.29735,0.21,0.89,0.289444,,,0.21,0.069
76.43,179.513,0.75,0.86,,,,0.21,0.087
76.59,179.724,0.17,1.01,0.262876,,,0.24,0.088
76.75,179.93555,0.72,1,,,,0.23,0.091
76.91,180.161,0.09,1.15,,,,0.23,0.084
77.07,180.4006,0.06,1.04,,,,0.24,0.139
77.23,180.6387,0.06,1.14,0.289081,,,0.23,0.114
77.39,180.8834,0.06,1,,,,0.24,0.215
77.55,181.12455,0.05,1.2,0.32385,,,0.25,0.15
77.71,181.36795,0.2,0.83,,,,0.22,0.18
77.87,181.6072,0.21,0.72,0.332049,,,0.21,0.104
78.03,181.84395,0.38,0.73,,,,0.22,0.106
78.19,182.08615,0.11,0.81,0.320755,,,0.23,0.148
78.35,182.35795,0.07,0.81,,,,0.22,0.12
78.51,182.6283,0.08,0.84,0.317107,,,0.22,0.127
78.67,182.89735,0.66,0.76,,,,0.21,0.1
78.83,183.16725,0.56,0.78,0.351616,,,0.22,0.13
78.99,183.4325,0.07,0.79,,,,0.23,0.145
79.15,183.69415,0.04,0.84,0.324382,,,0.23,0.143
79.31,183.956,0.03,0.9,,,,0.23,0.116
79.47,184.21135,0.04,0.9,0.309438,,,0.23,0.097
79.63,184.42955,0.29,1.12,,,,0.25,0.065
79.79,184.65405,1.18,0.82,0.326881,,,0.2,0.116
79.95,184.87935,0.57,0.86,,,,0.22,0.137
80.11,185.09695,0.16,0.78,0.331276,,,0.25,0.162
80.27,185.31855,0.23,0.97,,,,0.25,0.112
80.43,185.53835,0.09,1.36,0.269731,,,0.3,0.073
80.59,185.76295,0.08,1.43,,,,0.28,0.085
80.75,185.9784,0.13,1.71,0.295616,,,0.28,0.083
80.91,186.242,0.13,1.96,,,,0.34,0.194
81.07,186.5075,0.04,1.58,0.316417,,,0.3,0.158
81.23,186.776,0.15,1.5,,,,0.28,0.133
81.39,187.0456,1.1,1.36,0.277929,,,0.27,0.118
81.55,187.31515,0.08,1.52,,,,0.28,0.132
81.71,187.577,0.1,1.32,0.31808,,,0.3,0.132
81.87,187.84465,0.34,1.21,,,,0.27,0.111
82.03,188.11895,0.26,1.33,0.298447,,,0.28,0.098
82.19,188.3675,0.12,1.15,,,,0.28,0.076
82.34,188.5998,0.88,1.16,0.290701,,,0.26,0.079
82.51,188.862,0.19,1.33,,,,0.27,0.104
82.67,189.1071,0.09,1.22,0.306048,,,0.27,0.082
82.83,189.3572,0.5,1.46,,,,0.26,0.089
82.99,189.60765,0.13,1.43,0.299381,,,0.27,0.088
83.15,189.8421,0.32,1.39,,,,0.26,0.09
83.31,190.0853,0.17,1.42,0.303095,,,0.28,0.098
83.47,190.3264,0.22,1.29,,,,0.26,0.078
83.63,190.5697,0.32,1.53,0.278707,,,0.31,0.083
83.79,190.79795,0.47,1.62,,,,0.27,0.086
83.95,191.03475,0.13,1.73,0.300051,,,0.29,0.095
84.11,191.27445,0.25,1.58,,,,0.26,0.089
84.27,191.51695,0.09,1.39,0.30163,,,0.27,0.09
84.43,191.75385,0.19,1.77,,,,0.27,0.077
84.59,191.99575,1.26,1.43,0.287219,,,0.25,0.079
84.75,192.23485,0.35,1.72,,,,0.27,0.092
84.91,192.4736,0.14,1.65,0.292897,,,0.29,0.112
85.07,192.7117,0.18,1.86,,,,0.27,0.091
85.23,192.9428,0.23,1.68,0.302318,,,0.27,0.082
85.39,193.18855,0.14,1.51,,,,0.27,0.078
85.55,193.4274,0.87,1.82,0.259897,,,0.26,0.104
85.72,193.6751,0.18,1.89,,,,0.28,0.083
85.87,193.9038,0.2,2.23,0.26834,,,0.3,0.064
86.03,194.15385,0.09,3.08,,,,0.34,0.153
86.19,194.4242,0.07,2.96,0.279233,,,0.38,0.141
86.35,194.6879,0.63,3.44,,,,0.38,0.142
86.51,194.9647,1.9,3.34,0.222656,,,0.35,0.128
86.67,195.2341,0.16,1.41,,,,0.26,0.151
86.83,195.50855,0.2,1.21,0.312663,,,0.27,0.088
86.99,195.77885,0.07,1.12,,,,0.26,0.07
87.15,196.0469,0.24,1.23,0.299124,,,0.25,0.089
87.31,196.3344,0.55,1.17,,,,0.27,0.087
87.47,196.65175,3.84,0.91,0.223974,,,0.19,0.06
87.63,196.96905,1.29,1.21,,0.34,-3.36,0.26,0.064
87.79,197.28775,1.92,1.18,0.270365,0.9,-3.88,0.23,0.067
87.95,197.6049,0.74,1.81,,-0.08,-5.72,0.3,0.105
88.11,197.91425,0.87,2.29,0.245024,-0.1,-5.97,0.33,0.103
88.27,198.2315,1.44,2.03,,-0.15,-6.01,0.35,0.105
88.43,198.55195,1.21,2.39,0.252642,0.28,-5.82,0.24,0.13
88.59,198.8571,1.04,1.3,,1,-5.3,0.26,0.1
88.75,199.13565,2.68,1.23,0.242566,1.02,-4.4,0.23,0.108
88.91,199.4142,2.98,1.13,,1.62,-4.71,0.23,0.123
89.07,199.69495,1.69,1.26,0.282952,0.16,-4.89,0.27,0.132
89.23,199.97505,3.68,1.32,,0.24,-6.11,0.23,0.172
89.39,200.24835,5.87,0.73,0.156985,0.29,-5.77,0.18,0.113
89.55,200.53475,6.52,0.83,,0.53,-5.6,0.17,0.103
89.71,200.80775,6.85,1.41,0.154038,1.05,-5.45,0.19,0.115
89.87,201.08675,7.28,1.77,,1.33,-4.76,0.2,0.132
90.03,201.3574,7.25,2.32,0.134486,0.72,-5.73,0.21,0.179
90.19,201.6211,6.93,1.67,,0.49,-6.34,0.24,0.244
90.35,201.8892,6.12,2.21,0.153336,0.63,-6.03,0.25,0.235
90.51,202.15925,4.41,2.47,,0.35,-6.36,0.31,0.153
90.67,202.4313,4.94,2.26,0.199132,0.7,-6.3,0.29,0.135
90.83,202.70185,3.2,2.27,,0.64,-6.47,0.27,0.133
90.99,202.97095,3.04,1.53,0.271209,1.09,-5.24,0.28,0.161
91.15,203.2414,3.05,2.04,,1.16,-5.28,0.27,0.195
91.31,203.52945,2.51,2.16,0.256228,0.67,-5.98,0.28,0.223
91.47,203.82685,2.09,1.72,,0.91,-5.52,0.29,0.198
91.63,204.1151,2.06,1.47,0.263077,1.15,-4.69,0.27,0.13
91.79,204.4038,1.32,1.43,,0.95,-4.34,0.26,0.103
91.95,204.69755,2.45,1.43,0.247533,1.57,-4.4,0.24,0.088
92.11,204.992,1.42,1.12,,0.73,-4.61,0.26,0.112
92.27,205.29295,1.15,1.27,0.294849,0.38,-5.01,0.28,0.131
92.43,205.5799,2.63,1.62,,-0.01,-5.49,0.28,0.149
92.59,206.1052,2.94,1.73,0.238402,-0.23,-5.39,0.29,0.143
92.75,206.6666,2.23,1.89,,-0.62,-5.27,0.29,0.155
92.91,207.2228,2.39,1.91,0.241079,-0.62,-5.93,0.3,0.164
93.07,207.7762,2.44,1.97,,-0.34,-5.2,0.3,0.15
93.23,208.3335,1.62,1.93,0.248441,-0.64,-5.6,0.32,0.069
93.39,208.88755,2.29,2.09,,-0.64,-5.39,0.3,0.127
93.55,209.4367,2.3,2.03,0.240206,-0.37,-5.16,0.29,0.142
93.71,209.98665,3.62,1.65,,-0.72,-5.52,0.27,0.091
93.87,210.4645,3.64,1.73,0.21233,-1.07,-6,0.32,0.109
94.03,210.91215,4.2,1.89,,-0.68,-4.88,0.25,0.136
94.19,211.36655,5.19,2,0.195524,-0.65,-4.78,0.24,0.097
94.35,211.80895,5.65,2.23,,-0.83,-5.33,0.27,0.126
94.51,212.25745,6.05,1.57,0.171187,-0.84,-5.16,0.23,0.084
94.67,212.707,6.17,1.66,,-0.85,-4.99,0.23,0.077
94.83,213.15215,6,1.66,0.171457,-1.09,-5.48,0.22,0.052
94.99,213.60565,6.36,2.22,,-0.8,-5.12,0.21,0.08
95.15,214.11995,7.1,1.78,0.159469,-1.16,-6.02,0.2,0.083
95.31,214.69655,7.5,2.07,,-0.62,-5.11,0.18,0.168
95.47,215.262,6.35,2.48,0.148615,-0.22,-5.24,0.19,0.117
95.63,215.83,6.3,2.72,,-0.05,-5.22,0.23,0.106
95.79,216.40255,5.5,3.65,0.165226,0.08,-5.69,0.24,0.125
95.96,217.0072,5.09,3.42,,0.21,-6.24,0.25,0.123
96.11,217.5321,4.66,3.46,0.191527,0.39,-6.22,0.24,0.159
96.27,218.0837,1.41,1.72,,0.27,-6.37,0.3,0.212
96.43,218.6878,0.11,1.28,0.298956,,,0.24,0.125
96.59,219.3229,0.09,1.16,,,,0.24,0.145
96.75,219.96755,0.07,1,0.307339,,,0.26,0.153
96.91,220.60025,1.15,0.88,,,,0.2,0.137
97.07,221.25125,0.2,0.84,0.30312,,,0.24,0.12
97.23,221.9039,0.1,0.85,,,,0.22,0.16
97.39,222.56495,0.1,0.78,0.313379,,,0.25,0.122
97.55,223.22525,0.49,0.77,,,,0.21,0.144
97.71,223.793,0.16,0.82,0.338327,,,0.22,0.111
97.87,224.2072,0.22,0.79,,,,0.23,0.103
98.03,224.6245,0.2,0.62,0.332852,,,0.23,0.102
98.19,225.0413,0.09,0.62,,,,0.22,0.08
98.35,225.4518,0.75,0.77,0.312714,,,0.21,0.085
98.51,225.8651,0.22,0.75,,,,0.22,0.087
98.67,226.2721,1.03,0.8,0.302783,,,0.22,0.124
98.83,226.67465,0.21,0.84,,,,0.24,0.106
98.99,227.05845,0.05,0.86,0.312317,,,0.25,0.126
99.15,227.38715,0.04,0.83,,,,0.26,0.084
99.31,228.0273,0.37,0.91,0.318121,,,0.26,0.118
99.47,228.04815,0.56,0.93,,,,0.24,0.103
99.63,228.3832,0.27,1.1,0.29851,,,0.28,0.107
99.79,228.71405,0.39,1.24,,,,0.26,0.072
99.95,229.04555,0.19,1.25,0.321466,,,0.28,0.074
100.11,229.3789,0.13,1.48,,,,0.32,0.099
100.27,229.711,0.11,1.79,0.281598,,,0.33,0.104
100.43,230.04945,0.07,1.74,,,,0.34,0.117
100.59,230.39835,0.27,1.64,0.211046,,,0.45,0.093
100.75,230.7385,0.05,1.87,,,,0.32,0.127
100.91,231.08715,0.24,1.16,0.344746,,,0.29,0.073
101.07,231.43975,0.05,1.37,,,,0.32,0.108
101.23,231.78505,0.64,1.06,0.331641,,,0.26,0.087
101.39,232.11785,0.52,1.13,,,,0.26,0.071
101.55,232.4559,0.34,1.37,0.351461,,,0.3,0.06
101.71,232.80485,0.09,1.48,,,,0.32,0.086
101.87,233.15105,0.06,1.64,0.286274,,,0.31,0.098
102.03,233.50355,0.04,1.73,,,,0.33,0.087
102.19,233.8522,0.03,1.58,0.330935,,,0.35,0.107
102.35,234.19755,1.36,1.29,,,,0.29,0.112
102.51,234.5446,0.08,1.78,0.27865,,,0.33,0.1
102.67,234.8896,0.08,1.75,,,,0.33,0.102
102.83,235.2372,0.05,1.71,0.295372,,,0.34,0.115
102.99,235.56605,0.08,1.85,,,,0.35,0.113
103.15,235.8805,0.69,1.6,0.282468,-0.33,-5.21,0.33,0.078
103.31,236.20655,1.4,1.92,,-0.5,-5.16,0.33,0.105
103.47,236.51855,1.79,1.94,0.276211,-0.71,-5.57,0.32,0.109
103.63,236.8427,1.47,2.75,,-0.51,-5.54,0.31,0.095
103.79,237.1628,2.93,2.1,0.227742,-0.41,-5.65,0.32,0.098
103.95,237.48195,3.87,2.36,,-0.41,-5.32,0.28,0.153
104.11,237.7998,3.83,2.42,0.17738,-0.57,-5.56,0.26,0.108
104.27,238.15725,4.23,2.26,,-0.31,-5.13,0.26,0.112
104.43,238.5312,4.53,2.56,0.155932,-0.53,-5.89,0.25,0.158
104.59,238.89825,5.11,2.67,,-0.58,-5.53,0.23,0.172
104.75,239.26705,5.42,2.49,0.143627,-0.6,-6,0.24,0.172
104.9,239.6046,4.98,1.77,,-0.51,-5.81,0.21,0.207
105.07,239.9861,5.56,1.86,0.138401,-0.21,-5.73,0.21,0.169
105.23,240.35005,5.18,2.15,,-0.06,-5.89,0.23,0.14
105.39,240.7127,5.38,2.28,0.135979,0,-6.01,0.28,0.128
105.55,241.02585,5.38,2.09,,0.01,-6.18,0.22,0.195
105.71,241.32175,3.21,2.88,0.212249,0.13,-6.23,0.29,0.219
105.87,241.61035,1.56,1.31,,0.51,-6.41,0.27,0.207
106.03,241.91665,0.51,1.1,0.327514,,,0.25,0.147
106.19,242.2081,0.14,0.94,,,,0.25,0.202
106.35,242.5091,0.14,0.72,0.360767,,,0.24,0.158
106.51,242.80545,1.46,0.71,,,,0.27,0.128
106.67,243.1036,0.48,0.75,0.393203,,,0.25,0.117
106.83,243.408,0.1,0.77,,,,0.21,0.129
106.99,243.72885,0.08,0.84,0.31954,,,0.24,0.147
107.15,244.04245,0.17,0.93,,,,0.25,0.124
107.31,244.37275,0.18,0.93,0.35846,,,0.25,0.127
107.47,244.70255,0.23,0.87,,,,0.25,0.118
107.63,245.0279,0.43,0.93,0.317937,,,0.26,0.145
107.79,245.3591,0.15,0.88,,,,0.25,0.107
107.95,245.693,0.1,1.01,0.344581,,,0.27,0.081
108.11,246.01505,0.11,1.12,,,,0.27,0.128
108.27,246.31985,0.08,1.1,0.281235,,,0.27,0.081
108.43,246.6271,0.77,1.1,,,,0.25,0.063
108.59,246.9352,0.42,1.25,0.266011,,,0.26,0.082
108.75,247.24815,0.17,1.18,,,,0.25,0.106
108.91,247.55365,0.11,1.07,0.297964,,,0.25,0.079
109.07,247.86345,0.15,1.26,,,,0.26,0.1
109.23,248.18005,0.81,0.95,0.307591,,,0.24,0.067
109.39,248.5157,0.52,0.96,,,,0.25,0.116
109.55,248.9041,0.2,1.15,0.339741,,,0.26,0.107
109.71,249.2954,0.06,1.5,,,,0.28,0.098
109.87,249.68525,0.05,1.68,0.311039,,,0.27,0.091
110.03,250.0693,0.07,1.21,,,,0.28,0.082
110.19,250.43815,0.63,1.18,0.310238,,,0.26,0.123
110.35,250.82265,0.95,1.3,,,,0.27,0.082
110.51,251.1956,0.08,1.09,0.301769,,,0.28,0.075
110.67,251.58405,0.14,1.29,,,,0.28,0.11
110.83,251.9927,0.18,1.18,0.303817,,,0.29,0.099
110.99,252.41125,0.11,1.12,,,,0.27,0.078
111.15,252.8258,0.09,1.18,0.317095,,,0.26,0.078
111.31,253.24045,0.14,1.19,,,,0.27,0.081
111.47,253.6584,0.3,1.16,0.320226,,,0.28,0.085
111.63,254.07265,0.07,1.22,,,,0.27,0.09
111.79,254.4933,0.2,1.17,0.314352,,,0.26,0.057
111.95,254.9009,1,1.24,,,,0.24,0.077
112.11,255.36515,0.19,1.4,0.292999,,,0.25,0.077
112.27,255.83075,0.19,1.39,,,,0.27,0.091
112.43,256.29085,0.2,1.41,0.266637,,,0.3,0.1
112.59,256.7648,0.11,1.42,,,,0.26,0.088
112.75,257.2241,0.1,1.37,0.305416,,,0.25,0.211
112.91,257.68135,0.07,1.26,,,,0.26,0.088
113.07,258.1437,0.05,1.3,0.28127,,,0.25,0.102
113.23,258.59705,0.04,1.18,,,,0.25,0.158
113.39,259.09145,0.04,1.21,0.308421,,,0.27,0.052
113.55,259.585,0.3,0.86,,,,0.27,0.138
113.71,260.07335,1.59,0.99,0.302461,,,0.23,0.11
113.87,260.56465,0.11,1.05,,,,0.26,0.122
114.03,261.06125,0.06,1.08,0.299362,,,0.24,0.079
114.19,261.5409,0.08,0.87,,,,0.24,0.107
114.35,262.0322,0.09,1.11,0.317351,,,0.26,0.134
114.52,262.5441,0.03,0.95,,,,0.24,0.093
114.67,262.942,0.02,0.89,0.330313,,,0.27,0.091
114.83,263.3548,0.23,0.8,,,,0.22,0.068
114.99,263.7639,0.26,1,0.338439,,,0.26,0.104
115.15,264.1779,0.1,1.05,,,,0.23,0.111
115.31,264.5836,0.1,0.95,0.308692,,,0.24,0.075
115.47,264.99575,0.05,0.96,,,,0.24,0.098
115.63,265.41485,0.08,1.03,0.324671,,,0.25,0.096
115.79,265.83265,0.04,0.94,,,,0.24,0.1
115.95,266.22145,0.11,0.83,0.338063,,,0.23,0.129
116.11,266.6249,0.34,0.77,,,,0.22,0.091
116.27,267.02265,0.94,0.73,0.342025,,,0.22,0.105
116.43,267.4253,0.18,0.72,,,,0.22,0.095
116.59,267.8192,0.17,0.69,0.374957,,,0.22,0.156
116.75,268.2159,0.29,0.91,,,,0.22,0.114
116.91,268.6173,0.17,0.67,0.396134,,,0.24,0.105
117.07,269.01135,0.07,0.6,,,,0.24,0.104
117.23,269.42335,0.16,0.7,0.349695,,,0.24,0.207
117.39,269.8385,0.47,0.73,,,,0.25,0.139
117.57,270.3201,0.18,0.71,0.339153,,,0.23,0.163
117.71,270.6835,0.28,0.7,,,,0.24,0.137
117.87,271.10325,0.3,0.66,0.398647,,,0.23,0.139
118.03,271.5242,0.43,0.63,,,,0.25,0.073
118.19,271.95225,0.09,0.59,0.374547,,,0.26,0.129
118.35,272.37625,0.19,0.69,,,,0.26,0.135
118.51,272.78525,0.16,0.63,0.404415,,,0.25,0.074
118.67,273.1653,0.08,0.58,,,,0.26,0.104
118.83,273.55205,1.68,0.7,0.314758,,,0.2,0.091
118.99,273.9399,0.21,0.7,,,,0.26,0.114
119.15,274.3203,0.13,0.67,0.384652,,,0.27,0.132
119.31,274.6959,0.42,0.71,,,,0.24,0.115
119.46,275.12945,0.59,0.76,0.368139,,,0.25,0.122
119.63,275.45795,0,0.8,,,,0.33,0.1
119.79,275.828,0,0.86,0.377729,,,0.31,0.111
119.95,276.17295,0.08,0.76,,,,0.32,0.117
120.11,276.5199,0.24,0.84,0.345276,,,0.3,0.088
120.27,276.86995,0.13,0.78,,,,0.32,0.131
120.43,277.2131,0.1,0.81,0.31839,,,0.31,0.11
120.59,277.556,0.79,0.86,,,,0.29,0.171
120.75,277.89115,0.06,0.84,0.367206,,,0.33,0.124
120.91,278.2357,0.08,0.77,,,,0.31,0.146
121.07,278.57965,1.37,0.94,0.325337,,,0.28,0.103
121.23,278.93515,0.24,0.9,,,,0.32,0.097
121.39,279.29375,0,1.09,0.373979,,,0.34,0.134
121.55,279.65125,0.07,1.04,,,,0.32,0.113
121.71,280.0096,0.07,0.79,0.368301,,,0.31,0.094
121.87,280.3717,0.34,1.01,,,,0.31,0.117
122.03,280.7247,0.33,1.17,0.355759,,,0.33,0.108
122.19,281.08065,0.14,1.1,,,,0.34,0.094
122.35,281.43105,0.19,1.3,0.281864,,,0.35,0.106
122.51,281.76635,0.08,1.72,,,,0.36,0.096
122.67,282.10625,0.1,1.96,0.279712,,,0.39,0.124
122.83,282.43835,0.8,2.38,,,,0.4,0.107
122.99,282.77925,1.22,1.8,0.272099,,,0.36,0.095
123.15,283.1134,1.43,1.34,,,,0.32,0.112
123.31,283.4576,1.4,1.56,0.287045,,,0.34,0.098
123.47,283.80325,0.08,2.15,,,,0.41,0.099
123.63,284.1448,0.28,2.47,0.278682,,,0.4,0.09
123.79,284.5643,0.13,3.2,,,,0.43,0.113
123.95,284.9992,0.75,3.12,0.280887,,,0.43,0.115
124.11,285.43095,1.27,3.36,,,,0.42,0.117
124.27,285.8525,1.07,3.42,0.23247,,,0.45,0.111
124.43,286.28235,1.39,2.89,,-0.22,-6.8,0.4,0.089
124.59,286.71635,2.1,2.7,0.23528,-0.1,-5.69,0.37,0.096
124.75,287.14585,3,2.9,,-0.25,-6.02,0.34,0.107
124.91,287.5801,3.65,2.69,0.190769,0.28,-6.26,0.33,0.11
125.07,288.0089,3.7,3.1,,0.04,-6.56,0.33,0.119
125.23,288.4365,4.02,3.1,0.178181,0.12,-6.63,0.32,0.103
125.39,288.8618,4.27,3.28,,0.07,-6.52,0.31,0.096
125.55,289.28545,4.9,2.99,0.158645,0.2,-6.76,0.28,0.102
125.71,289.71075,4.83,3.24,,0.17,-6.68,0.32,0.116
125.87,290.13465,4.97,2.97,0.154239,0.28,-6.5,0.31,0.125
126.03,290.5524,4.29,2.95,,0.31,-6.71,0.36,0.083
126.19,290.96615,3.87,2.67,0.183142,0.32,-6.86,0.32,0.11
126.35,291.3565,3.41,2.5,,0.24,-6.64,0.33,0.112
126.51,291.7247,3.19,2.23,0.210195,0.75,-6.67,0.31,0.098
126.67,292.10125,2.83,2.05,,0.63,-6.99,0.31,0.082
126.83,292.4742,2.4,2.11,0.221239,1.1,-6.64,0.36,0.101
126.99,292.8552,2.08,1.64,,,,0.3,0.105
127.15,293.2335,1.37,1.57,0.252153,,,0.32,0.131
127.31,293.612,0.87,1.47,,,,0.33,0.176
127.47,293.9926,0.78,1.31,0.306189,,,0.32,0.126
127.63,294.3704,0.55,1.17,,,,0.33,0.105
127.79,294.7364,1.07,1.24,0.282657,,,0.3,0.119
127.95,295.10575,0.69,1.08,,,,0.3,0.118
128.11,295.48955,0.94,1.17,0.313495,,,0.31,0.106
128.27,295.8722,0.48,1.08,,,,0.31,0.103
128.43,296.25155,0.18,0.97,0.319442,,,0.33,0.102
128.59,296.63245,1.17,1.14,,,,0.29,0.087
128.75,297.00465,0.41,1.02,0.309786,,,0.32,0.076
128.91,297.3512,0.36,1.29,,,,0.33,0.087
129.06,297.6403,0.36,1.17,0.301045,,,0.33,0.069
129.23,297.9625,0.41,1.05,,,,0.35,0.087
129.39,298.26905,0.17,1.42,0.28357,,,0.37,0.101
129.55,298.5718,0.89,1.67,,,,0.35,0.085
129.71,298.88055,0.99,1.77,0.282284,,,0.34,0.07
129.87,299.17115,1.08,1.58,,,,0.35,0.073
130.03,299.46765,0.83,1.87,0.279013,,,0.36,0.086
130.19,299.75655,0.63,1.58,,,,0.35,0.077
130.35,300.04145,0.78,1.3,0.319445,,,0.35,0.077
130.51,300.3285,0.36,1.19,,,,0.36,0.076
130.67,300.6178,0.88,1.29,0.301922,,,0.37,0.088
130.83,300.90685,0.33,1.35,,,,0.32,0.072
130.99,301.1976,0.37,1.57,0.293086,,,0.33,0.092
131.15,301.49,0.4,1.52,,,,0.33,0.085
131.31,301.77605,0.23,1.66,0.290246,,,0.33,0.101
131.47,302.06125,0.31,1.69,,,,0.33,0.123
131.63,302.36375,0.21,1.8,0.301406,,,0.35,0.111
131.79,302.661,0.29,1.99,,,,0.34,0.095
131.95,302.966,0.29,2.2,0.266741,,,0.36,0.125
132.11,303.2657,1.17,2.25,,,,0.34,0.101
132.28,303.58165,0.62,2.19,0.266985,,,0.35,0.111
132.43,303.8612,1.08,2.33,,,,0.36,0.092
132.59,304.15405,1.32,2.65,0.235468,,,0.37,0.104
132.75,304.455,1.43,2.13,,,,0.33,0.078
132.91,304.78535,0.28,1.71,0.311143,,,0.34,0.124
133.07,305.1204,0.57,1.46,,,,0.31,0.116
133.23,305.44965,0.53,1.48,0.302738,,,0.32,0.102
133.39,305.78205,0.13,1.85,,,,0.36,0.079
133.55,306.112,0.65,2.82,0.258493,,,0.39,0.114
133.71,306.4449,1.15,2.86,,,,0.38,0.104
133.87,306.7705,1.01,3.02,0.228482,,,0.38,0.113
134.03,307.1086,1,2.65,,,,0.37,0.108
134.19,307.43015,1.48,2.78,0.248213,-0.46,-5.75,0.36,0.102
134.35,307.76175,1.88,3.18,,-0.54,-6.31,0.39,0.117
134.51,308.0942,2.1,3.11,0.233987,0.12,-6.21,0.38,0.11
134.66,308.4025,3.08,2.9,,0.85,-5.85,0.34,0.108
134.83,308.75555,3.05,3.25,0.214838,0.12,-5.76,0.37,0.114
134.99,309.08065,2.03,2.69,,-0.37,-6.39,0.35,0.087
135.15,309.4116,2.74,2.29,0.229694,1.13,-5.28,0.31,0.108
135.31,309.74265,1.26,1.46,,,,0.3,0.145
135.47,310.04175,0.15,1.76,0.292409,,,0.35,0.217
135.63,310.331,0.83,2.45,,,,0.35,0.102
135.79,310.62165,2.68,3.12,0.225144,-0.13,-7.35,0.33,0.091
135.95,310.9071,3.14,2.99,,0.2,-6.76,0.34,0.129
136.12,311.21735,3.57,3.14,0.192277,-0.06,-7.28,0.34,0.121
136.27,311.4806,3.14,3.41,,0.17,-6.84,0.35,0.148
136.43,311.77455,3.25,1.95,0.254416,0.52,-6.66,0.27,0.151
136.59,312.0641,2.95,2.42,,0.45,-6.46,0.29,0.066
136.75,312.35545,4.2,2.41,0.218545,0.51,-6.46,0.26,0.109
136.91,312.6569,4.18,2.51,,0.65,-6.35,0.27,0.188
137.07,312.95835,4.38,2.27,0.198275,0.53,-6.63,0.26,0.106
137.23,313.25785,4.48,2.45,,0.6,-6.65,0.26,0.143
137.39,313.56065,4.39,2.79,0.192343,0.79,-6.47,0.26,0.11
137.55,313.8567,4.91,2.15,,0.62,-6.58,0.26,0.17
137.71,314.16345,4.63,2.52,0.196306,0.64,-6.65,0.27,0.2
137.87,314.46365,5.06,2.38,,0.75,-6.64,0.26,0.168
138.03,314.76275,4.18,2.39,0.180753,0.6,-6.73,0.34,0.173
138.19,315.0649,5.5,2.24,,0.8,-6.22,0.25,0.171
138.35,315.3717,4.82,2.31,0.194214,0.68,-6.47,0.25,0.155
