MS_depth,age_kabp_MS,MS
348.85,989.4439,152.1
349.33,991.9832,88.9
349.81,994.49275,110.7
350.29,997.124,99.9
350.77,999.8531,91
351.25,1002.5455,161.6
351.73,1004.6735,128.2
352.21,1006.836,122.7
352.69,1008.724,182.8
353.17,1010.108,378.7
353.65,1011.468,403.6
354.13,1012.798,189.4
354.6,1014.087,189.3
355.09,1015.435,159.3
355.57,1016.734,123
356.05,1018.0545,121.6
356.53,1019.3625,313.2
357.01,1020.7095,126.8
357.49,1022.0565,139.5
357.97,1023.349,104.1
358.45,1024.6295,107.6
358.93,1025.917,55.8
359.41,1027.193,98.7
359.89,1028.4785,110.9
360.37,1029.7555,62.4
360.85,1030.86,159.5
361.33,1031.987,208.1
361.81,1033.197,124.3
362.29,1034.524,187.7
362.77,1035.865,233.2
363.25,1037.547,114.3
363.73,1039.368,154.3
364.21,1041.163,138.2
364.69,1043.048,255.5
365.17,1044.9455,341
365.65,1046.867,241.1
366.13,1048.8475,141.1
366.61,1050.8245,137.1
367.09,1052.7215,143
367.57,1054.5575,116.2
368.05,1056.4275,661.6
368.53,1057.9795,161.1
369.01,1059.455,145.9
369.49,1060.9025,167.1
369.97,1062.165,105.6
370.46,1063.47,184.6
370.93,1064.6585,153.4
371.41,1065.891,166.1
371.89,1067.127,177.9
372.38,1068.435,155.3
372.508,1068.786,163.5
372.628,1069.105,152.4
372.665,1069.206,159.2
372.75,1069.44,174
372.85,1069.691,165.9
372.915,1069.879,167
373.01,1070.137,154.9
373.075,1070.313,149.4
373.105,1070.394,131.2
373.155,1070.526,120.2
373.185,1070.61,118
373.235,1070.745,116.8
373.27,1070.833,117.6
373.305,1070.928,123.2
373.33,1070.9815,126.8
373.39,1071.185,123
373.425,1071.298,116.6
373.47,1071.437,111.9
373.505,1071.55,115.8
373.55,1071.688,107
373.575,1071.765,113.9
373.6,1071.847,109.1
373.63,1071.937,102.3
373.66,1072.033,103
373.715,1072.21,116.5
373.74,1072.288,113.1
373.785,1072.43,107.5
373.81,1072.4915,113.7
373.875,1072.718,119.5
373.905,1072.814,120.4
373.95,1072.96,127.7
373.98,1073.052,128.3
374.035,1073.229,138.4
374.06,1073.31,140
374.068,1073.3435,148.6
374.113,1073.479,148.6
374.143,1073.572,136
374.193,1073.736,136.2
374.218,1073.822,130.4
374.268,1073.98,135.8
374.29,1074.0235,150.9
374.348,1074.24,151.1
374.413,1074.446,152.1
374.428,1074.497,164
374.448,1074.558,154.4
374.473,1074.637,147.2
374.528,1074.816,147.1
374.553,1074.892,148.9
374.593,1075.019,156
374.623,1075.112,141.7
374.678,1075.302,131.8
374.708,1075.403,132.1
374.77,1075.5905,122.1
374.848,1075.889,141.2
374.938,1076.204,144.8
375.028,1076.516,116.3
375.093,1076.743,117.7
375.173,1077.022,135.5
375.25,1077.265,130.6
375.333,1077.586,144.2
375.408,1077.851,152.7
375.498,1078.169,145.5
375.568,1078.413,162.9
375.628,1078.619,173.6
375.73,1078.9475,178.7
375.833,1079.334,170.3
375.913,1079.607,179.5
375.993,1079.888,186.2
376.113,1080.313,177.6
376.21,1080.628,141.9
376.273,1080.878,154
376.71,1082.3705,115.4
377.17,1083.974,147
377.65,1085.6805,158
378.13,1087.39,251.2
378.61,1089.104,197.9
379.09,1090.9205,143.3
379.57,1092.736,170
381.01,1097.657,230.3
381.49,1099.193,278.1
381.97,1100.6865,153.4
382.45,1102.163,303.1
382.93,1103.561,267.9
383.41,1104.972,109.9
383.89,1106.387,104.7
384.37,1107.8825,74.2
384.85,1109.366,66.4
385.33,1110.8245,95.7
385.81,1112.277,95.9
386.29,1113.7165,202.1
386.77,1115.13,171.8
387.25,1116.524,185.8
387.73,1117.963,442.9
388.21,1119.5045,386.3
388.69,1121.068,399.5
389.17,1122.7315,186.1
389.65,1124.514,327.5
390.13,1126.2915,238.6
390.61,1128.155,151.2
391.08,1130.0035,97.6
391.57,1131.956,121.1
392.05,1134.215,220.1
392.53,1136.466,159.1
393.01,1138.702,136
393.49,1140.9635,134.1
393.97,1143.224,582.3
394.45,1145.5505,135.8
394.93,1147.931,149.4
395.41,1150.3235,123.2
395.89,1151.573,191.5
396.37,1152.7355,124.5
396.85,1153.9495,119.8
397.33,1155.3665,92.5
397.81,1156.763,85.2
398.29,1158.1845,88
398.77,1159.689,77.6
399.25,1161.17,129.2
399.73,1162.4765,177.9
400.21,1163.736,129.2
400.69,1164.9945,166.8
401.17,1166.318,99.6
401.65,1167.652,113.4
402.13,1168.989,116
402.61,1170.319,63.8
403.09,1171.658,92.8
403.57,1173.7255,66.2
404.05,1176.1315,81
404.53,1178.5075,70.3
405.01,1180.892,80.7
405.49,1183.29,116.5
405.97,1185.886,106
406.44,1189.0485,119.8
406.93,1192.373,337.3
407.41,1195.404,144.8
407.89,1198.2755,238
408.37,1201.1065,115.8
408.85,1204.319,142.4
409.33,1207.6095,198.3
409.81,1210.667,122.1
410.29,1212.519,138.3
410.77,1214.3715,127.7
411.25,1216.205,225.6
411.73,1218.0305,213.5
412.21,1219.842,116.5
412.69,1221.679,143.3
413.17,1223.527,109.4
413.65,1225.382,118.9
414.13,1227.0925,117
414.61,1228.853,148.6
415.09,1230.457,98.9
415.57,1231.831,70.4
416.05,1233.1785,70.2
416.53,1234.563,154.3
417.01,1235.9875,110.3
417.49,1237.4285,76.6
417.97,1238.823,114.4
418.45,1240.2325,71
418.93,1241.6655,81.2
419.41,1243.1465,52.6
419.89,1244.642,91.7
420.37,1246.008,390.3
420.85,1247.297,109.2
421.33,1248.5945,363.7
421.8,1250.46,176.4
422.29,1252.5975,162.6
422.77,1254.7095,179.3
423.25,1257.4135,151.3
423.73,1260.2185,150
424.21,1262.697,160.7
424.69,1265.057,121.3
425.17,1267.4395,136.6
425.65,1271.826,143.4
426.06,1276.5065,109.7
426.61,1282.7975,120.1
427.09,1285.8175,99.8
427.57,1288.729,102.1
428.05,1291.359,100.1
428.53,1293.058,116.3
