MS_depth,age_kabp_MS,MS
137.51,313.76375,67.7
137.98,314.65505,63.9
138.47,315.5903,87.2
138.95,316.51335,85.9
139.43,317.5041,92.6
139.91,318.6146,104
140.39,319.7441,144
140.87,320.8891,90.9
141.35,322.0635,92.9
141.83,323.23795,67.6
142.31,324.60785,60.5
142.79,325.9759,66.2
143.27,327.35645,57.8
143.75,328.8082,68.1
144.23,330.26855,56
144.71,331.7316,80.3
145.19,333.177,127
145.67,334.61905,183
146.15,336.12655,200
146.63,337.6466,169
147.11,339.17115,240
147.59,340.82795,216
148.07,342.4653,187
148.55,344.07835,198
149.03,345.64605,301
149.51,347.2352,176
149.99,348.7492,210
150.47,350.23775,227
150.95,351.72435,136
151.44,353.31145,228
151.91,354.837,227
152.39,356.4088,121
152.87,358.0406,476
153.35,359.68535,155
153.83,361.3084,241
154.31,362.8972,215
154.8,364.55855,153
155.27,365.7338,222
155.75,366.93285,170
156.23,368.1866,161
156.71,369.7578,183
157.19,371.3328,124
157.67,373.08825,101
158.15,375.08605,290
158.63,377.0997,110
159.11,379.5194,283
159.59,382.08205,299
160.07,384.6434,118
160.55,386.86375,63.4
161.03,389.1126,116
161.51,391.18395,66
161.99,392.8235,136
162.47,394.4619,102
162.95,395.6854,130
163.43,396.65725,71.7
163.91,397.60905,56.1
164.39,398.71795,93.7
164.87,399.85485,85.7
165.35,401.00505,102
165.83,402.24005,76.2
166.31,403.4629,77.4
166.79,404.86445,124
167.27,406.47645,237
167.75,408.0926,129
168.23,409.30355,79
168.71,410.42485,94
169.18,411.55455,69.9
169.67,413.03255,57.5
170.15,414.49735,37.5
170.63,415.84455,41.1
171.11,417.0191,30.8
171.59,418.17385,48.8
172.07,419.5553,48.6
172.55,421.05245,58.3
173.03,422.5461,58.5
173.51,423.81915,116
173.99,425.0879,90.6
174.47,426.40445,103
174.95,427.8572,169
175.43,429.33745,396
175.91,430.7337,321
176.39,432.0842,224
176.87,433.45005,233
177.35,435.858,178
177.83,438.49735,141
178.31,441.0816,356
178.79,443.21885,215
179.27,445.37135,263
179.75,447.4092,169
180.23,449.24375,494
180.71,451.0958,139
181.19,453.066,205
181.67,455.10885,227
